1884,0.0008460236886632825,(1987)
9787,0.0008374779948384009,(1987)
35902,0.0007263839751149396,(2007)
1865,0.0006238356492163599,(1998)
20024,0.0006238356492163599,(1977)
9218,0.0004956502418431353,(2008)
26674,0.00043583038506896376,(2003)
19969,0.00041019330359431884,(1981)
11916,0.0003674648344699106,(2004)
3721,0.00035891914064502896,(2012)
6147,0.0003418277529952657,(2010)
20110,0.0003418277529952657,(2012)
33107,0.00030764497769573913,(2004)
14370,0.0002990992838708575,(2005)
32020,0.0002990992838708575,(2001)
36861,0.0002990992838708575,(1997)
1374,0.0002905535900459758,(2012)
19594,0.0002905535900459758,(1982)
8950,0.0002820078962210942,(2007)
6674,0.0002820078962210942,(2008)
24984,0.0002820078962210942,(2006)
25596,0.0002820078962210942,(2004)
32074,0.0002820078962210942,(2007)
7364,0.00027346220239621256,(2007)
26314,0.00027346220239621256,(2010)
36041,0.00027346220239621256,(1999)
39387,0.0002649165085713309,(1986)
18729,0.0002649165085713309,(2010)
19256,0.0002649165085713309,(2012)
26680,0.0002649165085713309,(2006)
32188,0.0002649165085713309,(2004)
39340,0.00025637081474644925,(1991)
16891,0.00025637081474644925,(2003)
29725,0.00025637081474644925,(1987)
7586,0.00024782512092156765,(2009)
16092,0.00024782512092156765,(2009)
27760,0.00024782512092156765,(2009)
29977,0.00024782512092156765,(1985)
31571,0.00024782512092156765,(2009)
39521,0.000239279427096686,(2012)
20016,0.000239279427096686,(1982)
32194,0.000239279427096686,(2004)
8219,0.00023073373327180433,(2012)
10971,0.00023073373327180433,(2012)
7256,0.00023073373327180433,(1997)
7272,0.00023073373327180433,(2007)
29015,0.00023073373327180433,(2006)
29033,0.00023073373327180433,(2007)
29702,0.00023073373327180433,(2008)
2695,0.00023073373327180433,(2006)
31486,0.00023073373327180433,(2014)
12635,0.0002221880394469227,(2012)
6305,0.0002221880394469227,(1992)
1375,0.0002221880394469227,(2012)
26351,0.0002221880394469227,(1980)
37141,0.0002221880394469227,(2008)
8217,0.00021364234562204105,(2012)
38502,0.00021364234562204105,(2010)
9156,0.00021364234562204105,(1993)
14445,0.00021364234562204105,(2005)
16779,0.00021364234562204105,(2006)
16921,0.00021364234562204105,(2008)
21369,0.00021364234562204105,(1997)
34840,0.00021364234562204105,(2011)
11018,0.00020509665179715942,(2012)
11911,0.00020509665179715942,(2016)
18830,0.00020509665179715942,(1997)
1833,0.00020509665179715942,(1976)
20890,0.00020509665179715942,(1983)
29043,0.00020509665179715942,(2006)
2670,0.00020509665179715942,(2007)
36935,0.00020509665179715942,(2009)
37043,0.00020509665179715942,(2011)
37100,0.00020509665179715942,(1998)
38899,0.00019655095797227776,(2009)
11840,0.00019655095797227776,(2001)
7657,0.00019655095797227776,(2010)
15960,0.00019655095797227776,(2010)
22773,0.00019655095797227776,(2012)
22984,0.00019655095797227776,(2013)
25005,0.00019655095797227776,(2006)
38935,0.00018800526414739614,(2009)
108,0.00018800526414739614,(212)
39529,0.00018800526414739614,(2003)
5067,0.00018800526414739614,(2012)
1393,0.00018800526414739614,(2010)
15958,0.00018800526414739614,(2010)
23685,0.00018800526414739614,(2012)
24299,0.00018800526414739614,(2016)
24987,0.00018800526414739614,(2006)
27104,0.00018800526414739614,(2003)
32190,0.00018800526414739614,(2004)
33057,0.00018800526414739614,(2009)
11903,0.00017945957032251448,(2016)
13185,0.00017945957032251448,(2010)
15349,0.00017945957032251448,(2000)
16810,0.00017945957032251448,(2009)
19734,0.00017945957032251448,(1992)
20485,0.00017945957032251448,(2003)
20620,0.00017945957032251448,(1997)
25666,0.00017945957032251448,(2012)
29980,0.00017945957032251448,(1985)
32071,0.00017945957032251448,(2001)
35891,0.00017945957032251448,(2002)
36114,0.00017945957032251448,(2010)
37950,0.00017091387649763285,(1993)
9257,0.00017091387649763285,(2005)
39415,0.00017091387649763285,(2010)
561,0.00017091387649763285,(2005)
689,0.00017091387649763285,(2010)
7622,0.00017091387649763285,(2009)
18819,0.00017091387649763285,(2000)
1811,0.00017091387649763285,(1978)
20087,0.00017091387649763285,(1973)
22516,0.00017091387649763285,(2008)
22872,0.00017091387649763285,(1996)
22986,0.00017091387649763285,(2013)
24740,0.00017091387649763285,(2000)
26911,0.00017091387649763285,(2004)
29056,0.00017091387649763285,(2011)
2677,0.00017091387649763285,(2006)
35379,0.00017091387649763285,(2005)
8220,0.0001623681826727512,(2012)
38977,0.0001623681826727512,(1981)
39414,0.0001623681826727512,(1991)
39416,0.0001623681826727512,(1997)
39477,0.0001623681826727512,(2003)
39699,0.0001623681826727512,(2002)
39917,0.0001623681826727512,(1988)
11371,0.0001623681826727512,(2010)
5246,0.0001623681826727512,(2009)
16760,0.0001623681826727512,(2010)
20040,0.0001623681826727512,(1973)
21934,0.0001623681826727512,(2009)
22643,0.0001623681826727512,(2011)
22868,0.0001623681826727512,(1996)
26929,0.0001623681826727512,(2008)
32945,0.0001623681826727512,(2003)
33329,0.0001623681826727512,(2015)
34828,0.0001623681826727512,(2008)
34849,0.0001623681826727512,(2011)
37041,0.0001623681826727512,(1998)
9214,0.00015382248884786957,(2008)
85,0.00015382248884786957,(2013)
39470,0.00015382248884786957,(2012)
39898,0.00015382248884786957,(1995)
10695,0.00015382248884786957,(2005)
684,0.00015382248884786957,(2010)
5452,0.00015382248884786957,(1982)
13213,0.00015382248884786957,(2013)
7618,0.00015382248884786957,(2009)
16770,0.00015382248884786957,(2004)
16950,0.00015382248884786957,(2008)
17004,0.00015382248884786957,(2006)
18937,0.00015382248884786957,(2006)
19087,0.00015382248884786957,(2008)
